,Year,Home_goals,Away_goals,Home Team,Away Team
343,1982,1,0,NIR,ESP
344,1982,0,1,AUT,FRA
345,1982,3,0,POL,BEL
346,1982,2,1,ITA,ARG
347,1982,0,0,FRG,ENG
348,1982,2,2,AUT,NIR
349,1982,0,1,BEL,URS
350,1982,1,3,ARG,BRA
351,1982,2,1,FRG,ESP
352,1982,4,1,FRA,NIR
353,1982,0,0,POL,URS
354,1982,3,2,ITA,BRA
355,1982,0,0,ESP,ENG
356,1982,0,2,POL,ITA
357,1982,3,3,FRG,FRA
358,1982,3,2,POL,FRA
359,1982,3,1,ITA,FRG
360,1986,1,1,BUL,ITA
361,1986,0,1,CAN,FRA
362,1986,0,1,ESP,BRA
363,1986,6,0,URS,HUN
364,1986,3,1,ARG,KOR
365,1986,0,0,MAR,POL
366,1986,1,1,ALG,NIR
367,1986,1,2,BEL,MEX
368,1986,1,0,POR,ENG
369,1986,1,0,PAR,IRQ
370,1986,0,1,SCO,DEN
371,1986,1,1,URU,FRG
372,1986,1,1,ITA,ARG
373,1986,1,1,FRA,URS
374,1986,1,1,KOR,BUL
375,1986,2,0,HUN,CAN
376,1986,1,0,BRA,ALG
377,1986,0,0,ENG,MAR
378,1986,1,2,NIR,ESP
379,1986,1,1,MEX,PAR
380,1986,1,0,POL,POR
381,1986,1,2,IRQ,BEL
382,1986,6,1,DEN,URU
383,1986,2,1,FRG,SCO
384,1986,0,3,HUN,FRA
385,1986,2,0,URS,CAN
386,1986,2,3,KOR,ITA
387,1986,2,0,ARG,BUL
388,1986,2,2,PAR,BEL
389,1986,0,1,IRQ,MEX
390,1986,1,3,POR,MAR
391,1986,3,0,ENG,POL
392,1986,0,3,NIR,BRA
393,1986,0,3,ALG,ESP
394,1986,0,0,SCO,URU
395,1986,2,0,DEN,FRG
396,1986,3,4,URS,BEL
397,1986,2,0,MEX,BUL
398,1986,1,0,ARG,URU
399,1986,4,0,BRA,POL
400,1986,0,2,ITA,FRA
401,1986,0,1,MAR,FRG
402,1986,3,0,ENG,PAR
403,1986,1,5,DEN,ESP
404,1986,1,1,BRA,FRA
405,1986,0,0,FRG,MEX
406,1986,1,1,ESP,BEL
407,1986,2,1,ARG,ENG
408,1986,0,2,FRA,FRG
409,1986,2,0,ARG,BEL
410,1986,4,2,FRA,BEL
411,1986,3,2,ARG,FRG
412,1990,0,1,ARG,CMR
413,1990,0,2,URS,ROU
414,1990,0,2,UAE,COL
415,1990,1,0,ITA,AUT
416,1990,1,5,USA,TCH
417,1990,2,1,BRA,SWE
418,1990,4,1,FRG,YUG
419,1990,1,0,CRC,SCO
420,1990,1,1,ENG,IRL
421,1990,2,0,BEL,KOR
422,1990,1,1,NED,EGY
423,1990,0,0,URU,ESP
424,1990,2,0,ARG,URS
425,1990,2,1,CMR,ROU
426,1990,1,0,YUG,COL
427,1990,1,0,ITA,USA
428,1990,0,1,AUT,TCH
429,1990,5,1,FRG,UAE
430,1990,1,0,BRA,CRC
431,1990,1,2,SWE,SCO
432,1990,0,0,ENG,NED
433,1990,0,0,IRL,EGY
434,1990,1,3,KOR,ESP
435,1990,3,1,BEL,URU
436,1990,1,1,ARG,ROU
437,1990,0,4,CMR,URS
438,1990,1,1,FRG,COL
439,1990,4,1,YUG,UAE
440,1990,2,0,ITA,TCH
441,1990,2,1,AUT,USA
442,1990,1,0,BRA,SCO
443,1990,1,2,SWE,CRC
444,1990,0,1,KOR,URU
445,1990,1,2,BEL,ESP
446,1990,1,1,IRL,NED
447,1990,1,0,ENG,EGY
448,1990,2,1,CMR,COL
449,1990,4,1,TCH,CRC
450,1990,0,1,BRA,ARG
451,1990,2,1,FRG,NED
452,1990,0,0,IRL,ROU
453,1990,2,0,ITA,URU
454,1990,1,2,ESP,YUG
455,1990,1,0,ENG,BEL
456,1990,0,0,YUG,ARG
457,1990,1,0,ITA,IRL
458,1990,1,0,FRG,TCH
459,1990,3,2,ENG,CMR
460,1990,1,1,ITA,ARG
461,1990,1,1,FRG,ENG
462,1990,2,1,ITA,ENG
463,1990,1,0,FRG,ARG
464,1994,2,2,ESP,KOR
465,1994,1,0,GER,BOL
466,1994,1,1,USA,SUI
467,1994,0,1,ITA,IRL
468,1994,1,3,COL,ROU
469,1994,1,0,BEL,MAR
470,1994,1,0,NOR,MEX
471,1994,2,2,CMR,SWE
472,1994,2,1,NED,KSA
473,1994,2,0,BRA,RUS
474,1994,4,0,ARG,GRE
475,1994,3,0,NGA,BUL
476,1994,1,1,GER,ESP
477,1994,1,4,ROU,SUI
478,1994,2,1,USA,COL
479,1994,1,0,ITA,NOR
480,1994,0,0,KOR,BOL
481,1994,2,1,MEX,IRL
482,1994,3,1,SWE,RUS
483,1994,3,0,BRA,CMR
484,1994,1,0,BEL,NED
485,1994,2,1,KSA,MAR
486,1994,2,1,ARG,NGA
487,1994,4,0,BUL,GRE
488,1994,0,1,USA,ROU
489,1994,0,2,SUI,COL
490,1994,3,2,GER,KOR
491,1994,1,3,BOL,ESP
492,1994,0,0,IRL,NOR
493,1994,1,1,BRA,SWE
494,1994,1,1,ITA,MEX
495,1994,6,1,RUS,CMR
496,1994,1,2,MAR,NED
497,1994,0,1,BEL,KSA
498,1994,0,2,GRE,NGA
499,1994,0,2,ARG,BUL
500,1994,3,2,GER,BEL
501,1994,3,0,ESP,SUI
502,1994,1,3,KSA,SWE
503,1994,3,2,ROU,ARG
504,1994,2,0,NED,IRL
505,1994,1,0,BRA,USA
506,1994,1,2,NGA,ITA
507,1994,1,1,MEX,BUL
508,1994,2,1,ITA,ESP
509,1994,2,3,NED,BRA
510,1994,2,1,BUL,GER
511,1994,2,2,ROU,SWE
512,1994,1,2,BUL,ITA
513,1994,0,1,SWE,BRA
514,1994,4,0,SWE,BUL
515,1994,0,0,BRA,ITA
516,1998,2,1,BRA,SCO
517,1998,2,2,MAR,NOR
518,1998,2,2,ITA,CHI
519,1998,1,1,CMR,AUT
520,1998,0,0,PAR,BUL
