Unnamed: 0,Year,Home_goals,Away_goals,Home Team,Away Team,Home Team ISO,Away Team ISO,Home_result,Population_Home,Population_Away
264,1974,0,1,poland,germany fr,POL,DEU,L,33678899.0,78967433.0
265,1974,2,0,netherlands,brazil,NLD,BRA,W,13545056.0,106167372.0
266,1974,1,1,argentina,german dr,ARG,DEU,D,25449754.0,78967433.0
267,1974,2,1,sweden,yugoslavia,SWE,YUG,W,8159955.0,
268,1974,0,1,brazil,poland,BRA,POL,L,106167372.0,33678899.0
269,1974,1,2,netherlands,germany fr,NLD,DEU,L,13545056.0,78967433.0
270,1978,0,0,germany fr,poland,DEU,POL,D,78091820.0,34965600.0
271,1978,2,1,italy,france,ITA,FRA,W,56155143.0,54486195.0
272,1978,3,1,tunisia,mexico,TUN,MEX,W,6254876.0,64123997.0
273,1978,2,1,argentina,hungary,ARG,HUN,W,27146121.0,10684822.0
274,1978,1,1,sweden,brazil,SWE,BRA,D,8275599.0,116664382.0
275,1978,2,1,austria,spain,AUT,ESP,W,7562305.0,36864898.0
276,1978,3,1,peru,scotland,PER,SCT,W,16638480.0,
277,1978,3,0,netherlands,ir iran,NLD,IRN,W,13941700.0,35993661.0
278,1978,3,1,italy,hungary,ITA,HUN,W,56155143.0,10684822.0
279,1978,1,0,poland,tunisia,POL,TUN,W,34965600.0,6254876.0
280,1978,6,0,germany fr,mexico,DEU,MEX,W,78091820.0,64123997.0
281,1978,2,1,argentina,france,ARG,FRA,W,27146121.0,54486195.0
282,1978,0,0,brazil,spain,BRA,ESP,D,116664382.0,36864898.0
283,1978,1,0,austria,sweden,AUT,SWE,W,7562305.0,8275599.0
284,1978,1,1,scotland,ir iran,SCT,IRN,D,,35993661.0
285,1978,0,0,netherlands,peru,NLD,PER,D,13941700.0,16638480.0
286,1978,3,1,france,hungary,FRA,HUN,W,54486195.0,10684822.0
287,1978,3,1,poland,mexico,POL,MEX,W,34965600.0,64123997.0
288,1978,0,0,germany fr,tunisia,DEU,TUN,D,78091820.0,6254876.0
289,1978,1,0,italy,argentina,ITA,ARG,W,56155143.0,27146121.0
290,1978,1,0,brazil,austria,BRA,AUT,W,116664382.0,7562305.0
291,1978,1,0,spain,sweden,ESP,SWE,W,36864898.0,8275599.0
292,1978,4,1,peru,iran,PER,IRN,W,16638480.0,35993661.0
293,1978,3,2,scotland,netherlands,SCT,NLD,W,,13941700.0
294,1978,0,0,germany fr,italy,DEU,ITA,D,78091820.0,56155143.0
295,1978,5,1,netherlands,austria,NLD,AUT,W,13941700.0,7562305.0
296,1978,3,0,brazil,peru,BRA,PER,W,116664382.0,16638480.0
297,1978,2,0,argentina,poland,ARG,POL,W,27146121.0,34965600.0
298,1978,1,0,poland,peru,POL,PER,W,34965600.0,16638480.0
299,1978,1,0,italy,austria,ITA,AUT,W,56155143.0,7562305.0
300,1978,2,2,germany fr,netherlands,DEU,NLD,D,78091820.0,13941700.0
301,1978,0,0,argentina,brazil,ARG,BRA,D,27146121.0,116664382.0
302,1978,2,1,netherlands,italy,NLD,ITA,W,13941700.0,56155143.0
303,1978,3,2,austria,germany fr,AUT,DEU,W,7562305.0,78091820.0
304,1978,3,1,brazil,poland,BRA,POL,W,116664382.0,34965600.0
305,1978,6,0,argentina,peru,ARG,PER,W,27146121.0,16638480.0
306,1978,2,1,brazil,italy,BRA,ITA,W,116664382.0,56155143.0
307,1978,3,1,argentina,netherlands,ARG,NLD,W,27146121.0,13941700.0
308,1982,0,1,argentina,belgium,ARG,BEL,L,28922762.0,9856303.0
309,1982,0,0,italy,poland,ITA,POL,D,56543548.0,36230481.0
310,1982,2,1,brazil,soviet union,BRA,SUN,W,128065095.0,
311,1982,0,0,peru,cameroon,PER,CMR,D,18374372.0,9046986.0
312,1982,10,1,hungary,el salvador,HUN,SLV,W,10705535.0,4599904.0
313,1982,5,2,scotland,new zealand,SCT,NZL,W,,3156100.0
314,1982,1,2,germany fr,algeria,DEU,DZA,L,78333366.0,20000096.0
315,1982,3,1,england,france,ENG,FRA,W,,55694106.0
316,1982,1,1,spain,honduras,ESP,HND,D,37986012.0,4015647.0
317,1982,0,1,chile,austria,CHL,AUT,L,11807408.0,7574140.0
318,1982,1,1,czechoslovakia,kuwait,CZE,KWT,D,10314826.0,1652921.0
319,1982,0,0,yugoslavia,northern ireland,YUG,NIL,D,,
320,1982,1,1,italy,peru,ITA,PER,D,56543548.0,18374372.0
321,1982,4,1,argentina,hungary,ARG,HUN,W,28922762.0,10705535.0
322,1982,4,1,brazil,scotland,BRA,SCT,W,128065095.0,
323,1982,0,0,poland,cameroon,POL,CMR,D,36230481.0,9046986.0
324,1982,1,0,belgium,el salvador,BEL,SLV,W,9856303.0,4599904.0
325,1982,3,0,soviet union,new zealand,SUN,NZL,W,,3156100.0
326,1982,4,1,germany fr,chile,DEU,CHL,W,78333366.0,11807408.0
327,1982,2,0,england,czechoslovakia,ENG,CZE,W,,10314826.0
328,1982,2,1,spain,yugoslavia,ESP,YUG,W,37986012.0,
329,1982,0,2,algeria,austria,DZA,AUT,L,20000096.0,7574140.0
330,1982,4,1,france,kuwait,FRA,KWT,W,55694106.0,1652921.0
331,1982,1,1,honduras,northern ireland,HND,NIL,D,4015647.0,
332,1982,5,1,poland,peru,POL,PER,W,36230481.0,18374372.0
333,1982,1,1,belgium,hungary,BEL,HUN,D,9856303.0,10705535.0
334,1982,2,2,soviet union,scotland,SUN,SCT,D,,
335,1982,1,1,italy,cameroon,ITA,CMR,D,56543548.0,9046986.0
336,1982,2,0,argentina,el salvador,ARG,SLV,W,28922762.0,4599904.0
337,1982,4,0,brazil,new zealand,BRA,NZL,W,128065095.0,3156100.0
338,1982,3,2,algeria,chile,DZA,CHL,W,20000096.0,11807408.0
339,1982,1,1,france,czechoslovakia,FRA,CZE,D,55694106.0,10314826.0
340,1982,0,1,honduras,yugoslavia,HND,YUG,L,4015647.0,
341,1982,1,0,germany fr,austria,DEU,AUT,W,78333366.0,7574140.0
342,1982,1,0,england,kuwait,ENG,KWT,W,,1652921.0
343,1982,1,0,northern ireland,spain,NIL,ESP,W,,37986012.0
344,1982,0,1,austria,france,AUT,FRA,L,7574140.0,55694106.0
345,1982,3,0,poland,belgium,POL,BEL,W,36230481.0,9856303.0
346,1982,2,1,italy,argentina,ITA,ARG,W,56543548.0,28922762.0
347,1982,0,0,germany fr,england,DEU,ENG,D,78333366.0,
348,1982,2,2,austria,northern ireland,AUT,NIL,D,7574140.0,
349,1982,0,1,belgium,soviet union,BEL,SUN,L,9856303.0,
350,1982,1,3,argentina,brazil,ARG,BRA,L,28922762.0,128065095.0
351,1982,2,1,germany fr,spain,DEU,ESP,W,78333366.0,37986012.0
352,1982,4,1,france,northern ireland,FRA,NIL,W,55694106.0,
353,1982,0,0,poland,soviet union,POL,SUN,D,36230481.0,
354,1982,3,2,italy,brazil,ITA,BRA,W,56543548.0,128065095.0
355,1982,0,0,spain,england,ESP,ENG,D,37986012.0,
356,1982,0,2,poland,italy,POL,ITA,L,36230481.0,56543548.0
357,1982,3,3,germany fr,france,DEU,FRA,D,78333366.0,55694106.0
358,1982,3,2,poland,france,POL,FRA,W,36230481.0,55694106.0
359,1982,3,1,italy,germany fr,ITA,DEU,W,56543548.0,78333366.0
360,1986,1,1,bulgaria,italy,BGR,ITA,D,8958171.0,56596155.0
361,1986,0,1,canada,france,CAN,FRA,L,26100278.0,56865193.0
362,1986,0,1,spain,brazil,ESP,BRA,L,38584624.0,139643355.0
363,1986,6,0,soviet union,hungary,SUN,HUN,W,,10630564.0
364,1986,3,1,argentina,korea republic,ARG,KOR,W,30748326.0,41213674.0
365,1986,0,0,morocco,poland,MAR,POL,D,22824446.0,37456119.0
366,1986,1,1,algeria,northern ireland,DZA,NIL,D,22882553.0,
367,1986,1,2,belgium,mexico,BEL,MEX,L,9861823.0,76224365.0
368,1986,1,0,portugal,england,PRT,ENG,W,10032734.0,
369,1986,1,0,paraguay,iraq,PRY,IRQ,W,3636027.0,16148221.0
370,1986,0,1,scotland,denmark,SCT,DNK,L,,5120534.0
371,1986,1,1,uruguay,germany fr,URY,DEU,D,3041205.0,77720436.0
372,1986,1,1,italy,argentina,ITA,ARG,D,56596155.0,30748326.0
373,1986,1,1,france,soviet union,FRA,SUN,D,56865193.0,
374,1986,1,1,korea republic,bulgaria,KOR,BGR,D,41213674.0,8958171.0
375,1986,2,0,hungary,canada,HUN,CAN,W,10630564.0,26100278.0
376,1986,1,0,brazil,algeria,BRA,DZA,W,139643355.0,22882553.0
377,1986,0,0,england,morocco,ENG,MAR,D,,22824446.0
378,1986,1,2,northern ireland,spain,NIL,ESP,L,,38584624.0
379,1986,1,1,mexico,paraguay,MEX,PRY,D,76224365.0,3636027.0
380,1986,1,0,poland,portugal,POL,PRT,W,37456119.0,10032734.0
381,1986,1,2,iraq,belgium,IRQ,BEL,L,16148221.0,9861823.0
382,1986,6,1,denmark,uruguay,DNK,URY,W,5120534.0,3041205.0
383,1986,2,1,germany fr,scotland,DEU,SCT,W,77720436.0,
384,1986,0,3,hungary,france,HUN,FRA,L,10630564.0,56865193.0
385,1986,2,0,soviet union,canada,SUN,CAN,W,,26100278.0
386,1986,2,3,korea republic,italy,KOR,ITA,L,41213674.0,56596155.0
387,1986,2,0,argentina,bulgaria,ARG,BGR,W,30748326.0,8958171.0
388,1986,2,2,paraguay,belgium,PRY,BEL,D,3636027.0,9861823.0
389,1986,0,1,iraq,mexico,IRQ,MEX,L,16148221.0,76224365.0
390,1986,1,3,portugal,morocco,PRT,MAR,L,10032734.0,22824446.0
391,1986,3,0,england,poland,ENG,POL,W,,37456119.0
392,1986,0,3,northern ireland,brazil,NIL,BRA,L,,139643355.0
393,1986,0,3,algeria,spain,DZA,ESP,L,22882553.0,38584624.0
394,1986,0,0,scotland,uruguay,SCT,URY,D,,3041205.0
395,1986,2,0,denmark,germany fr,DNK,DEU,W,5120534.0,77720436.0
