Year,Home_goals,Away_goals,Home Team,Away Team,Home Team ISO,Away Team ISO,GDP Home,GDP Away
1974,1,2,netherlands,germany fr,NLD,DEU,87243413395.0,
1978,0,0,germany fr,poland,DEU,POL,,
1978,2,1,italy,france,ITA,FRA,315000000000.0,507000000000.0
1978,3,1,tunisia,mexico,TUN,MEX,,103000000000.0
1978,2,1,argentina,hungary,ARG,HUN,,
1978,1,1,sweden,brazil,SWE,BRA,104000000000.0,
1978,2,1,austria,spain,AUT,ESP,62052259073.0,161000000000.0
1978,3,1,peru,scotland,PER,SCT,12495779622.0,
1978,3,0,netherlands,ir iran,NLD,IRN,156000000000.0,
1978,3,1,italy,hungary,ITA,HUN,315000000000.0,
1978,1,0,poland,tunisia,POL,TUN,,
1978,6,0,germany fr,mexico,DEU,MEX,,103000000000.0
1978,2,1,argentina,france,ARG,FRA,,507000000000.0
1978,0,0,brazil,spain,BRA,ESP,,161000000000.0
1978,1,0,austria,sweden,AUT,SWE,62052259073.0,104000000000.0
1978,1,1,scotland,ir iran,SCT,IRN,,
1978,0,0,netherlands,peru,NLD,PER,156000000000.0,12495779622.0
1978,3,1,france,hungary,FRA,HUN,507000000000.0,
1978,3,1,poland,mexico,POL,MEX,,103000000000.0
1978,0,0,germany fr,tunisia,DEU,TUN,,
1978,1,0,italy,argentina,ITA,ARG,315000000000.0,
1978,1,0,brazil,austria,BRA,AUT,,62052259073.0
1978,1,0,spain,sweden,ESP,SWE,161000000000.0,104000000000.0
1978,4,1,peru,iran,PER,IRN,12495779622.0,
1978,3,2,scotland,netherlands,SCT,NLD,,156000000000.0
1978,0,0,germany fr,italy,DEU,ITA,,315000000000.0
1978,5,1,netherlands,austria,NLD,AUT,156000000000.0,62052259073.0
1978,3,0,brazil,peru,BRA,PER,,12495779622.0
1978,2,0,argentina,poland,ARG,POL,,
1978,1,0,poland,peru,POL,PER,,12495779622.0
1978,1,0,italy,austria,ITA,AUT,315000000000.0,62052259073.0
1978,2,2,germany fr,netherlands,DEU,NLD,,156000000000.0
1978,0,0,argentina,brazil,ARG,BRA,,
1978,2,1,netherlands,italy,NLD,ITA,156000000000.0,315000000000.0
1978,3,2,austria,germany fr,AUT,DEU,62052259073.0,
1978,3,1,brazil,poland,BRA,POL,,
1978,6,0,argentina,peru,ARG,PER,,12495779622.0
1978,2,1,brazil,italy,BRA,ITA,,315000000000.0
1978,3,1,argentina,netherlands,ARG,NLD,,156000000000.0
1982,0,1,argentina,belgium,ARG,BEL,,92095926188.0
1982,0,0,italy,poland,ITA,POL,427000000000.0,
1982,2,1,brazil,soviet union,BRA,SUN,,
1982,0,0,peru,cameroon,PER,CMR,21793496819.0,6611255018.0
1982,10,1,hungary,el salvador,HUN,SLV,,
1982,5,2,scotland,new zealand,SCT,NZL,,
1982,1,2,germany fr,algeria,DEU,DZA,,45207088716.0
