,Year,Home_goals,Away_goals,Home Team,Away Team,Home Team ISO,Away Team ISO,Home_result
251,1974,1,0,German DR,Germany FR,DEU,DEU,W
252,1974,1,4,Bulgaria,Netherlands,BGR,NLD,L
253,1974,4,1,Argentina,Haiti,ARG,HTI,W
254,1974,3,0,Sweden,Uruguay,SWE,URY,W
255,1974,2,1,Poland,Italy,POL,ITA,W
256,1974,0,2,Yugoslavia,Germany FR,YUG,DEU,L
257,1974,1,0,Brazil,German DR,BRA,DEU,W
258,1974,4,0,Netherlands,Argentina,NLD,ARG,W
259,1974,0,1,Sweden,Poland,SWE,POL,L
260,1974,1,2,Argentina,Brazil,ARG,BRA,L
261,1974,2,1,Poland,Yugoslavia,POL,YUG,W
262,1974,0,2,German DR,Netherlands,DEU,NLD,L
263,1974,4,2,Germany FR,Sweden,DEU,SWE,W
264,1974,0,1,Poland,Germany FR,POL,DEU,L
265,1974,2,0,Netherlands,Brazil,NLD,BRA,W
266,1974,1,1,Argentina,German DR,ARG,DEU,D
267,1974,2,1,Sweden,Yugoslavia,SWE,YUG,W
268,1974,0,1,Brazil,Poland,BRA,POL,L
269,1974,1,2,Netherlands,Germany FR,NLD,DEU,L
270,1978,0,0,Germany FR,Poland,DEU,POL,D
271,1978,2,1,Italy,France,ITA,FRA,W
272,1978,3,1,Tunisia,Mexico,TUN,MEX,W
273,1978,2,1,Argentina,Hungary,ARG,HUN,W
274,1978,1,1,Sweden,Brazil,SWE,BRA,D
275,1978,2,1,Austria,Spain,AUT,ESP,W
276,1978,3,1,Peru,Scotland,PER,SCT,W
277,1978,3,0,Netherlands,IR Iran,NLD,IRN,W
278,1978,3,1,Italy,Hungary,ITA,HUN,W
279,1978,1,0,Poland,Tunisia,POL,TUN,W
280,1978,6,0,Germany FR,Mexico,DEU,MEX,W
281,1978,2,1,Argentina,France,ARG,FRA,W
282,1978,0,0,Brazil,Spain,BRA,ESP,D
283,1978,1,0,Austria,Sweden,AUT,SWE,W
284,1978,1,1,Scotland,IR Iran,SCT,IRN,D
285,1978,0,0,Netherlands,Peru,NLD,PER,D
286,1978,3,1,France,Hungary,FRA,HUN,W
287,1978,3,1,Poland,Mexico,POL,MEX,W
288,1978,0,0,Germany FR,Tunisia,DEU,TUN,D
289,1978,1,0,Italy,Argentina,ITA,ARG,W
290,1978,1,0,Brazil,Austria,BRA,AUT,W
291,1978,1,0,Spain,Sweden,ESP,SWE,W
292,1978,4,1,Peru,Iran,PER,IRN,W
293,1978,3,2,Scotland,Netherlands,SCT,NLD,W
294,1978,0,0,Germany FR,Italy,DEU,ITA,D
295,1978,5,1,Netherlands,Austria,NLD,AUT,W
296,1978,3,0,Brazil,Peru,BRA,PER,W
297,1978,2,0,Argentina,Poland,ARG,POL,W
298,1978,1,0,Poland,Peru,POL,PER,W
299,1978,1,0,Italy,Austria,ITA,AUT,W
300,1978,2,2,Germany FR,Netherlands,DEU,NLD,D
301,1978,0,0,Argentina,Brazil,ARG,BRA,D
302,1978,2,1,Netherlands,Italy,NLD,ITA,W
303,1978,3,2,Austria,Germany FR,AUT,DEU,W
304,1978,3,1,Brazil,Poland,BRA,POL,W
305,1978,6,0,Argentina,Peru,ARG,PER,W
306,1978,2,1,Brazil,Italy,BRA,ITA,W
307,1978,3,1,Argentina,Netherlands,ARG,NLD,W
308,1982,0,1,Argentina,Belgium,ARG,BEL,L
309,1982,0,0,Italy,Poland,ITA,POL,D
310,1982,2,1,Brazil,Soviet Union,BRA,SUN,W
311,1982,0,0,Peru,Cameroon,PER,CMR,D
312,1982,10,1,Hungary,El Salvador,HUN,SLV,W
313,1982,5,2,Scotland,New Zealand,SCT,NZL,W
314,1982,1,2,Germany FR,Algeria,DEU,DZA,L
315,1982,3,1,England,France,ENG,FRA,W
316,1982,1,1,Spain,Honduras,ESP,HND,D
317,1982,0,1,Chile,Austria,CHL,AUT,L
318,1982,1,1,Czechoslovakia,Kuwait,CZE,KWT,D
319,1982,0,0,Yugoslavia,Northern Ireland,YUG,NIL,D
320,1982,1,1,Italy,Peru,ITA,PER,D
321,1982,4,1,Argentina,Hungary,ARG,HUN,W
322,1982,4,1,Brazil,Scotland,BRA,SCT,W
323,1982,0,0,Poland,Cameroon,POL,CMR,D
324,1982,1,0,Belgium,El Salvador,BEL,SLV,W
325,1982,3,0,Soviet Union,New Zealand,SUN,NZL,W
326,1982,4,1,Germany FR,Chile,DEU,CHL,W
327,1982,2,0,England,Czechoslovakia,ENG,CZE,W
328,1982,2,1,Spain,Yugoslavia,ESP,YUG,W
329,1982,0,2,Algeria,Austria,DZA,AUT,L
330,1982,4,1,France,Kuwait,FRA,KWT,W
331,1982,1,1,Honduras,Northern Ireland,HND,NIL,D
332,1982,5,1,Poland,Peru,POL,PER,W
333,1982,1,1,Belgium,Hungary,BEL,HUN,D
334,1982,2,2,Soviet Union,Scotland,SUN,SCT,D
335,1982,1,1,Italy,Cameroon,ITA,CMR,D
336,1982,2,0,Argentina,El Salvador,ARG,SLV,W
337,1982,4,0,Brazil,New Zealand,BRA,NZL,W
338,1982,3,2,Algeria,Chile,DZA,CHL,W
339,1982,1,1,France,Czechoslovakia,FRA,CZE,D
340,1982,0,1,Honduras,Yugoslavia,HND,YUG,L
341,1982,1,0,Germany FR,Austria,DEU,AUT,W
342,1982,1,0,England,Kuwait,ENG,KWT,W
343,1982,1,0,Northern Ireland,Spain,NIL,ESP,W
344,1982,0,1,Austria,France,AUT,FRA,L
345,1982,3,0,Poland,Belgium,POL,BEL,W
346,1982,2,1,Italy,Argentina,ITA,ARG,W
347,1982,0,0,Germany FR,England,DEU,ENG,D
348,1982,2,2,Austria,Northern Ireland,AUT,NIL,D
349,1982,0,1,Belgium,Soviet Union,BEL,SUN,L
350,1982,1,3,Argentina,Brazil,ARG,BRA,L
351,1982,2,1,Germany FR,Spain,DEU,ESP,W
352,1982,4,1,France,Northern Ireland,FRA,NIL,W
353,1982,0,0,Poland,Soviet Union,POL,SUN,D
354,1982,3,2,Italy,Brazil,ITA,BRA,W
355,1982,0,0,Spain,England,ESP,ENG,D
356,1982,0,2,Poland,Italy,POL,ITA,L
357,1982,3,3,Germany FR,France,DEU,FRA,D
358,1982,3,2,Poland,France,POL,FRA,W
359,1982,3,1,Italy,Germany FR,ITA,DEU,W
360,1986,1,1,Bulgaria,Italy,BGR,ITA,D
361,1986,0,1,Canada,France,CAN,FRA,L
362,1986,0,1,Spain,Brazil,ESP,BRA,L
363,1986,6,0,Soviet Union,Hungary,SUN,HUN,W
364,1986,3,1,Argentina,Korea Republic,ARG,KOR,W
365,1986,0,0,Morocco,Poland,MAR,POL,D
366,1986,1,1,Algeria,Northern Ireland,DZA,NIL,D
367,1986,1,2,Belgium,Mexico,BEL,MEX,L
368,1986,1,0,Portugal,England,PRT,ENG,W
369,1986,1,0,Paraguay,Iraq,PRY,IRQ,W
370,1986,0,1,Scotland,Denmark,SCT,DNK,L
371,1986,1,1,Uruguay,Germany FR,URY,DEU,D
372,1986,1,1,Italy,Argentina,ITA,ARG,D
373,1986,1,1,France,Soviet Union,FRA,SUN,D
374,1986,1,1,Korea Republic,Bulgaria,KOR,BGR,D
375,1986,2,0,Hungary,Canada,HUN,CAN,W
376,1986,1,0,Brazil,Algeria,BRA,DZA,W
377,1986,0,0,England,Morocco,ENG,MAR,D
378,1986,1,2,Northern Ireland,Spain,NIL,ESP,L
379,1986,1,1,Mexico,Paraguay,MEX,PRY,D
380,1986,1,0,Poland,Portugal,POL,PRT,W
381,1986,1,2,Iraq,Belgium,IRQ,BEL,L
382,1986,6,1,Denmark,Uruguay,DNK,URY,W
383,1986,2,1,Germany FR,Scotland,DEU,SCT,W
384,1986,0,3,Hungary,France,HUN,FRA,L
385,1986,2,0,Soviet Union,Canada,SUN,CAN,W
386,1986,2,3,Korea Republic,Italy,KOR,ITA,L
387,1986,2,0,Argentina,Bulgaria,ARG,BGR,W
388,1986,2,2,Paraguay,Belgium,PRY,BEL,D
389,1986,0,1,Iraq,Mexico,IRQ,MEX,L
390,1986,1,3,Portugal,Morocco,PRT,MAR,L
391,1986,3,0,England,Poland,ENG,POL,W
392,1986,0,3,Northern Ireland,Brazil,NIL,BRA,L
393,1986,0,3,Algeria,Spain,DZA,ESP,L
394,1986,0,0,Scotland,Uruguay,SCT,URY,D
395,1986,2,0,Denmark,Germany FR,DNK,DEU,W
396,1986,3,4,Soviet Union,Belgium,SUN,BEL,L
397,1986,2,0,Mexico,Bulgaria,MEX,BGR,W
398,1986,1,0,Argentina,Uruguay,ARG,URY,W
399,1986,4,0,Brazil,Poland,BRA,POL,W
400,1986,0,2,Italy,France,ITA,FRA,L
401,1986,0,1,Morocco,Germany FR,MAR,DEU,L
402,1986,3,0,England,Paraguay,ENG,PRY,W
403,1986,1,5,Denmark,Spain,DNK,ESP,L
404,1986,1,1,Brazil,France,BRA,FRA,D
405,1986,0,0,Germany FR,Mexico,DEU,MEX,D
406,1986,1,1,Spain,Belgium,ESP,BEL,D
407,1986,2,1,Argentina,England,ARG,ENG,W
408,1986,0,2,France,Germany FR,FRA,DEU,L
409,1986,2,0,Argentina,Belgium,ARG,BEL,W
410,1986,4,2,France,Belgium,FRA,BEL,W
411,1986,3,2,Argentina,Germany FR,ARG,DEU,W
412,1990,0,1,Argentina,Cameroon,ARG,CMR,L
413,1990,0,2,Soviet Union,Romania,SUN,ROU,L
414,1990,0,2,"rn"">United Arab Emirates",Colombia,ARE,COL,L
415,1990,1,0,Italy,Austria,ITA,AUT,W
416,1990,1,5,USA,Czechoslovakia,USA,CZE,L
417,1990,2,1,Brazil,Sweden,BRA,SWE,W
418,1990,4,1,Germany FR,Yugoslavia,DEU,YUG,W
419,1990,1,0,Costa Rica,Scotland,CRI,SCT,W
420,1990,1,1,England,"rn"">Republic of Ireland",ENG,IRL,D
421,1990,2,0,Belgium,Korea Republic,BEL,KOR,W
422,1990,1,1,Netherlands,Egypt,NLD,EGY,D
423,1990,0,0,Uruguay,Spain,URY,ESP,D
424,1990,2,0,Argentina,Soviet Union,ARG,SUN,W
425,1990,2,1,Cameroon,Romania,CMR,ROU,W
426,1990,1,0,Yugoslavia,Colombia,YUG,COL,W
427,1990,1,0,Italy,USA,ITA,USA,W
428,1990,0,1,Austria,Czechoslovakia,AUT,CZE,L
429,1990,5,1,Germany FR,"rn"">United Arab Emirates",DEU,ARE,W
430,1990,1,0,Brazil,Costa Rica,BRA,CRI,W
431,1990,1,2,Sweden,Scotland,SWE,SCT,L
432,1990,0,0,England,Netherlands,ENG,NLD,D
433,1990,0,0,"rn"">Republic of Ireland",Egypt,IRL,EGY,D
434,1990,1,3,Korea Republic,Spain,KOR,ESP,L
435,1990,3,1,Belgium,Uruguay,BEL,URY,W
436,1990,1,1,Argentina,Romania,ARG,ROU,D
437,1990,0,4,Cameroon,Soviet Union,CMR,SUN,L
438,1990,1,1,Germany FR,Colombia,DEU,COL,D
439,1990,4,1,Yugoslavia,"rn"">United Arab Emirates",YUG,ARE,W
440,1990,2,0,Italy,Czechoslovakia,ITA,CZE,W
441,1990,2,1,Austria,USA,AUT,USA,W
442,1990,1,0,Brazil,Scotland,BRA,SCT,W
443,1990,1,2,Sweden,Costa Rica,SWE,CRI,L
444,1990,0,1,Korea Republic,Uruguay,KOR,URY,L
445,1990,1,2,Belgium,Spain,BEL,ESP,L
446,1990,1,1,"rn"">Republic of Ireland",Netherlands,IRL,NLD,D
447,1990,1,0,England,Egypt,ENG,EGY,W
448,1990,2,1,Cameroon,Colombia,CMR,COL,W
449,1990,4,1,Czechoslovakia,Costa Rica,CZE,CRI,W
450,1990,0,1,Brazil,Argentina,BRA,ARG,L
451,1990,2,1,Germany FR,Netherlands,DEU,NLD,W
452,1990,0,0,"rn"">Republic of Ireland",Romania,IRL,ROU,D
453,1990,2,0,Italy,Uruguay,ITA,URY,W
454,1990,1,2,Spain,Yugoslavia,ESP,YUG,L
455,1990,1,0,England,Belgium,ENG,BEL,W
456,1990,0,0,Yugoslavia,Argentina,YUG,ARG,D
457,1990,1,0,Italy,"rn"">Republic of Ireland",ITA,IRL,W
458,1990,1,0,Germany FR,Czechoslovakia,DEU,CZE,W
459,1990,3,2,England,Cameroon,ENG,CMR,W
460,1990,1,1,Italy,Argentina,ITA,ARG,D
461,1990,1,1,Germany FR,England,DEU,ENG,D
462,1990,2,1,Italy,England,ITA,ENG,W
463,1990,1,0,Germany FR,Argentina,DEU,ARG,W
464,1994,2,2,Spain,Korea Republic,ESP,KOR,D
465,1994,1,0,Germany,Bolivia,DEU,BOL,W
466,1994,1,1,USA,Switzerland,USA,CHE,D
467,1994,0,1,Italy,"rn"">Republic of Ireland",ITA,IRL,L
468,1994,1,3,Colombia,Romania,COL,ROU,L
469,1994,1,0,Belgium,Morocco,BEL,MAR,W
470,1994,1,0,Norway,Mexico,NOR,MEX,W
471,1994,2,2,Cameroon,Sweden,CMR,SWE,D
472,1994,2,1,Netherlands,Saudi Arabia,NLD,SAU,W
